ID сотрудника	,Имя	,Пол	,Степень	,Образование	,Email	,Телефон	,ID отдела	
1,Иннокентий Лапин,Мужской,Магистр,Филиал Российской правовой академии,local1838@list.ru,+7(927)6839688,5
2,Никодим Бабаевский,Мужской,Специалист,Филиал Российской правовой академии,detail1977@gmail.com,+7(902)7702545,1
3,Алтын Ненарокова,Женский,Кандидат наук,Университет аэрокосмического приборостроения,telephone2048@mail.ru,+7(909)6412415,5
4,Аяна Волкова,Женский,Специалист,Новосибирский технический госуниверситет,puppy2071@gmail.com,+7(979)1071323,2
5,Фелиция Малахова,Женский,Магистр,Бауманское МГТУ,intranet2089@bk.ru,+7(966)4299372,3
6,Софья Булочникова,Женский,Специалист,МГУ им. Ломоносова,accessory1991@bk.ru,+7(900)9822513,3
7,Рикарда Евтихеева,Женский,Бакалавр,Санкт-Петербургский политехнический университет,filters1872@list.ru,+7(968)2147823,4
8,Таисия Белозерова,Женский,Бакалавр,Госуниверситет гражданской авиации,ruby2092@gmail.com,+7(999)6814918,8
9,Ерофей Нарицин,Мужской,Бакалавр,Санкт-Петербургский государственный архитектурно-строительный университет,leg2062@bk.ru,+7(975)4122919,3
10,Галактион Грязев,Мужской,Магистр,СПбГУ,method1919@mail.ru,+7(913)2240832,7
11,Пров Козел,Мужской,Бакалавр,Новосибирский технический госуниверситет,hart2083@yandex.ru,+7(918)8886964,1
12,Юстин Коклюшкин,Мужской,Кандидат наук,Санкт-Петербургский государственный политехнический университет,broker1950@bk.ru,+7(913)5458150,4
13,Арианда Осоргина,Женский,Кандидат наук,САУ им. С.П. Королева,note1939@mail.ru,+7(972)0401354,4
14,Сила Ставецкий,Мужской,Бакалавр,МГУ им. Ломоносова,alternatively2081@bk.ru,+7(986)4356279,6
15,Мина Златовратская,Женский,Специалист,Ульяновский высший авиационный институт гражданской авиации,diagram2033@bk.ru,+7(968)0674659,2
16,Дорофей Филимонихин,Мужской,Специалист,САУ им. С.П. Королева,peers1967@yandex.ru,+7(922)9181329,1
